R	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
0	-11	-3	-1	0	1	1	3	4	-14	-1	0	1	1	1	1	0	-11	26	19	2	4	3	2	2	-15	9	29	13	5	8	10	3	0	0	0	0	0	0	0	0	1	0	-1	0	0	-1	0	-1	1	-1	0	0	0	-1	-1	0	1	0	0	1	-1	0	-1	0
0	-12	-4	-2	-2	2	1	4	5	-15	-2	-1	0	2	3	2	2	-13	25	18	1	5	4	3	3	-17	8	28	11	6	8	11	4	-1	-1	-1	-2	1	0	1	1	-1	-1	-1	-1	1	2	1	2	-2	-1	-1	-1	1	1	1	1	-2	-1	-1	-2	1	0	1	1
0	-11	-2	0	0	3	2	4	5	-14	-1	0	1	3	3	2	2	-11	26	19	3	4	4	3	3	-15	10	29	12	6	8	11	4	1	2	2	2	1	1	0	0	1	1	1	1	1	0	0	0	2	1	1	2	-1	0	0	0	2	2	1	1	0	0	0	0
0	-11	-3	0	0	1	1	3	4	-14	-1	1	1	1	1	2	1	-10	26	20	3	4	4	2	2	-15	10	29	13	6	7	10	3	0	-1	0	0	-2	-1	-1	-1	0	0	1	0	-2	-2	0	-1	1	0	1	0	0	0	-1	-1	0	0	0	1	0	-1	-1	-1
0	-10	-2	-1	0	2	1	4	5	-14	-1	1	1	2	2	2	2	-11	25	19	2	4	4	3	3	-15	9	28	12	6	8	11	4	1	1	-1	0	1	0	1	1	0	0	0	0	1	1	0	1	-1	-1	-1	-1	0	0	1	1	0	-1	-1	-1	0	1	1	1
0	-11	-2	-1	0	2	1	3	5	-14	-1	0	1	2	2	2	1	-11	25	19	2	4	3	3	2	-16	9	28	12	5	7	10	4	-1	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	-1	0	0	0	-1	-1	-1	0
0	-11	-3	-1	-1	1	1	3	4	-14	-1	0	1	2	2	2	1	-11	25	19	2	4	4	3	2	-15	9	28	11	5	7	11	3	0	-1	0	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	-1	0	0	1	-1
0	-11	-3	-1	-1	3	2	5	6	-14	-1	0	0	3	3	3	3	-11	25	18	2	5	5	4	4	-15	8	28	11	6	9	11	4	0	0	0	0	2	1	2	2	0	0	0	-1	1	1	1	2	0	0	-1	0	1	1	1	2	0	-1	0	0	1	2	0	1
0	-11	-3	-1	-1	3	2	4	6	-14	-2	-1	0	3	3	3	2	-12	24	18	1	5	5	4	3	-16	8	27	11	6	9	11	4	0	0	0	0	0	0	-1	0	0	-1	-1	0	0	0	0	-1	-1	-1	0	-1	0	0	0	-1	-1	0	-1	0	0	0	0	0
0	-12	-4	-2	-2	2	1	4	4	-15	-2	-1	0	2	3	2	1	-12	24	17	1	4	4	3	3	-17	7	26	10	6	7	11	4	-1	-1	-1	-1	-1	-1	0	-2	-1	0	0	0	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	0	-1	-1	-1	-1	0	-2	0	0
